,,,vancouverisland (CA-Ca3),,,,oregonYP (US-Me6),,,,WREF NEON,,,,ABBY NEON,,
10/12/18,2018,285,0.3882,0.38767,0.00226,,0.37348,0.3764,0.00175,,0.36359,0.36518,0.00249,,0.38758,0.38891,0.00274
10/13/18,2018,286,0.38757,0.38755,0.00221,,0.37621,0.37593,0.00172,,0.36288,0.36446,0.00253,,0.3861,0.38753,0.00285
10/14/18,2018,287,0.38766,0.38745,0.00221,,0.37305,0.37531,0.00169,,0.36269,0.36364,0.00246,,0.3854,0.38648,0.00293
10/15/18,2018,288,0.38645,0.38719,0.00226,,0.373,0.37474,0.00171,,0.36328,0.36261,0.00246,,0.38477,0.38562,0.00285
10/16/18,2018,289,0.3858,0.38659,0.0022,,0.37428,0.37447,0.00175,,0.36296,0.36194,0.00253,,0.38486,0.38478,0.00274
10/17/18,2018,290,0.3864,0.38569,0.00212,,0.37373,0.37448,0.00173,,0.36266,0.36149,0.00249,,0.38484,0.38412,0.00274
10/18/18,2018,291,0.38575,0.38468,0.00213,,0.37299,0.3746,0.00175,,0.3622,0.36123,0.00253,,0.38425,0.3838,0.00285
10/19/18,2018,292,0.38337,0.38374,0.00223,,0.37396,0.37477,0.00178,,0.36151,0.36149,0.00246,,0.38378,0.38398,0.00293
10/20/18,2018,293,0.38411,0.38304,0.00228,,0.37382,0.37516,0.00175,,0.36128,0.36199,0.00246,,0.38309,0.3849,0.00285
10/21/18,2018,294,0.38383,0.38251,0.00221,,0.37602,0.3759,0.0017,,0.36133,0.36268,0.00253,,0.38327,0.38647,0.00274
10/22/18,2018,295,0.38094,0.382,0.00211,,0.3757,0.37681,0.00169,,0.36098,0.36375,0.00249,,0.38298,0.38833,0.00274
10/23/18,2018,296,0.37972,0.38155,0.00211,,0.37662,0.37775,0.00172,,0.3633,0.36499,0.00253,,0.39143,0.39014,0.00285
10/24/18,2018,297,0.38438,0.38123,0.00221,,NA,0.37855,0.00178,,0.36422,0.3665,0.00245,,0.39079,0.39155,0.00293
10/25/18,2018,298,0.37187,0.38111,0.00229,,0.38227,0.37905,0.00181,,0.36917,0.36854,0.00238,,0.39508,0.39301,0.00287
10/26/18,2018,299,0.3824,0.38131,0.00226,,0.37983,0.37946,0.00178,,0.37646,0.37059,0.00245,,0.39713,0.39474,0.00287
10/27/18,2018,300,0.38223,0.38181,0.00224,,0.38742,0.37998,0.00174,,0.37172,0.37217,0.00253,,0.4033,0.39604,0.00294
10/28/18,2018,301,0.38496,0.38244,0.0023,,0.37976,0.38042,0.00176,,0.37169,0.37366,0.00246,,0.39872,0.39696,0.00288
10/29/18,2018,302,0.38272,0.38305,0.00244,,0.37831,0.38058,0.00178,,0.37656,0.37529,0.00246,,0.39721,0.39781,0.00289
10/30/18,2018,303,0.38315,0.38347,0.00252,,0.37653,0.38038,0.00175,,0.37382,0.37631,0.00253,,0.3933,0.39832,0.00294
10/31/18,2018,304,0.34589,0.38388,0.00246,,0.38384,0.38,0.00174,,0.37852,0.37652,0.00249,,0.3962,0.39832,0.00286
11/1/18,2018,305,0.34928,0.38438,0.00246,,0.37999,0.37961,0.00175,,0.37819,0.37642,0.00253,,0.40084,0.39789,0.00276
11/2/18,2018,306,0.39034,0.38471,0.00252,,0.37563,0.37905,0.00174,,0.37463,0.37578,0.00246,,0.39487,0.39719,0.00279
11/3/18,2018,307,0.37844,0.38462,0.00244,,0.38209,0.37822,0.00176,,0.3829,0.37461,0.00246,,0.39523,0.39635,0.00293
11/4/18,2018,308,0.38913,0.38431,0.00238,,0.3771,0.37732,0.00181,,0.36754,0.37348,0.00253,,0.39786,0.39551,0.00303
11/5/18,2018,309,0.38446,0.38416,0.00239,,0.37928,0.37656,0.00183,,0.37343,0.3719,0.00249,,0.39718,0.39456,0.00296
11/6/18,2018,310,0.38546,0.38432,0.0023,,0.37685,0.37579,0.00182,,0.37154,0.37022,0.00253,,0.39448,0.39336,0.00286
11/7/18,2018,311,0.3817,0.38461,0.00218,,0.37191,0.37489,0.00186,,0.36438,0.36867,0.00246,,0.39269,0.39207,0.00288
11/8/18,2018,312,0.38189,0.38491,0.00215,,0.37076,0.37412,0.00185,,0.36349,0.36681,0.00246,,NA,0.3908,0.00301
11/9/18,2018,313,0.38269,0.38509,0.00223,,0.37344,0.37344,0.00181,,0.37065,0.36534,0.00253,,0.39154,0.38971,0.0031
11/10/18,2018,314,0.38113,0.38506,0.00231,,0.37082,0.37272,0.00183,,0.36279,0.3644,0.00249,,0.38377,0.38859,0.00301
11/11/18,2018,315,0.38668,0.3848,0.00226,,0.36917,0.37207,0.00191,,0.36202,0.36358,0.00253,,0.38223,0.38728,0.00287
11/12/18,2018,316,0.3839,0.38444,0.00224,,0.37262,0.37161,0.00207,,0.36151,0.36297,0.00245,,0.38244,0.38597,0.00283
11/13/18,2018,317,0.38848,0.384,0.00228,,0.37235,0.37141,0.00242,,0.36201,0.3626,0.00238,,0.38787,0.38485,0.00291
11/14/18,2018,318,0.38471,0.38326,0.00227,,0.37429,0.37145,0.00303,,0.36134,0.3623,0.00245,,0.39023,0.38411,0.00296
11/15/18,2018,319,0.39027,0.38227,0.00231,,0.36931,0.37172,0.00396,,0.36276,0.36192,0.00253,,0.38252,0.38375,0.00288
11/16/18,2018,320,0.38251,0.38151,0.00237,,NA,0.37194,0.02,,0.36857,0.36155,0.00246,,0.39294,0.38362,0.00287
11/17/18,2018,321,0.38223,0.38082,0.00231,,NA,0.37189,0.02,,0.36051,0.36129,0.00246,,0.37882,0.38363,0.00294
11/18/18,2018,322,0.38212,0.37989,0.00222,,NA,0.37166,0.02,,0.36018,0.36099,0.00253,,0.3791,0.3839,0.00289
11/19/18,2018,323,0.35549,0.37894,0.00223,,NA,0.37133,0.02,,0.35916,0.36067,0.00249,,0.37852,0.38445,0.00288
11/20/18,2018,324,0.38312,0.37818,0.00235,,NA,0.37101,0.02,,0.35894,0.36033,0.00253,,0.38101,0.38494,0.00294
11/21/18,2018,325,0.37541,0.37781,0.00243,,NA,0.37077,0.02,,0.36301,0.35961,0.00246,,0.38894,0.38564,0.00286
11/22/18,2018,326,0.37971,0.37811,0.00238,,NA,0.37045,0.02,,0.34923,0.35867,0.00246,,0.39064,0.38678,0.00275
11/23/18,2018,327,0.38074,0.37883,0.00238,,NA,0.36993,0.02,,0.35888,0.35811,0.00253,,0.39236,0.38804,0.00275
11/24/18,2018,328,0.38563,0.37938,0.00243,,NA,0.36937,0.02,,0.36757,0.35807,0.00249,,0.38283,0.38908,0.00286
11/25/18,2018,329,0.38263,0.38021,0.00236,,NA,0.36893,0.02,,0.36212,0.35815,0.00253,,0.38575,0.38956,0.00293
11/26/18,2018,330,0.3694,0.38148,0.00234,,NA,0.36777,0.02,,0.36366,0.35858,0.00246,,0.39095,0.38938,0.00285
11/27/18,2018,331,0.38587,0.38228,0.00239,,NA,0.36591,0.02,,0.34061,0.35932,0.00246,,0.39611,0.38876,0.00274
11/28/18,2018,332,0.38264,0.38235,0.00232,,NA,0.36479,0.02,,0.35364,0.3598,0.00253,,0.3933,0.38788,0.00274
11/29/18,2018,333,0.38631,0.38217,0.00221,,NA,0.36486,0.02,,0.363,0.36022,0.00249,,0.38222,0.3869,0.00285
11/30/18,2018,334,0.38565,0.38181,0.00218,,NA,0.36528,0.02,,0.36446,0.36058,0.00253,,0.38849,0.386,0.00293
12/1/18,2018,335,0.38316,0.38136,0.00224,,NA,0.36557,0.02,,0.36728,0.36045,0.00245,,0.38989,0.38484,0.00285
12/2/18,2018,336,0.37934,0.38092,0.00228,,NA,0.36525,0.02,,0.36767,0.36012,0.00238,,0.3906,0.38325,0.00274
12/3/18,2018,337,0.37958,0.38031,0.00222,,NA,0.36411,0.02,,0.35775,0.35977,0.00245,,0.37554,0.38159,0.00274
12/4/18,2018,338,0.37903,0.37943,0.00216,,NA,0.36287,0.02,,0.35501,0.35959,0.00253,,0.37413,0.38023,0.00285
12/5/18,2018,339,0.37716,0.37847,0.00219,,NA,0.36248,0.02,,0.36301,0.35905,0.00246,,0.37227,0.37955,0.00293
12/6/18,2018,340,0.37976,0.3776,0.00231,,NA,0.36281,0.02,,0.35597,0.35815,0.00246,,0.37135,0.37963,0.00285
12/7/18,2018,341,0.37795,0.37703,0.0024,,0.36352,0.36318,0.00399,,0.36194,0.35786,0.00253,,0.38271,0.38022,0.00274
12/8/18,2018,342,0.37718,0.37673,0.00234,,0.36446,0.36368,0.00308,,0.35312,0.35813,0.00249,,0.38404,0.3811,0.00274
12/9/18,2018,343,0.35882,0.37656,0.00224,,0.36177,0.36442,0.00257,,0.35685,0.35861,0.00253,,0.38464,0.38211,0.00285
12/10/18,2018,344,0.38268,0.37651,0.00222,,0.36436,0.36529,0.00234,,0.3473,0.36,0.00246,,0.38113,0.38303,0.00293
12/11/18,2018,345,0.38681,0.37659,0.0023,,NA,0.36608,0.00224,,0.36302,0.36202,0.00247,,0.38696,0.38415,0.00285
12/12/18,2018,346,0.37849,0.37677,0.00235,,0.36587,0.36674,0.00226,,0.36826,0.3638,0.00253,,0.3867,0.38568,0.00274
12/13/18,2018,347,0.37343,0.37721,0.00229,,NA,0.36718,0.0023,,0.37164,0.3659,0.00251,,0.39128,0.38731,0.00274
12/14/18,2018,348,0.37116,0.37787,0.00225,,0.37007,0.36739,0.00225,,0.37149,0.36801,0.00255,,0.38887,0.38874,0.00285
12/15/18,2018,349,0.38483,0.37846,0.00228,,NA,0.36743,0.00216,,0.3714,0.36972,0.00248,,0.38561,0.38967,0.00293
12/16/18,2018,350,0.37712,0.37907,0.00221,,0.36853,0.36736,0.00209,,0.36847,0.37159,0.00249,,0.39244,0.39009,0.00285
12/17/18,2018,351,0.37566,0.37982,0.00221,,0.36602,0.36725,0.00208,,0.36974,0.37297,0.00256,,0.38717,0.39023,0.00274
12/18/18,2018,352,0.3838,0.38045,0.00226,,NA,0.36715,0.00209,,0.37708,0.37353,0.00253,,0.391,0.39021,0.00274
12/19/18,2018,353,0.38654,0.38103,0.00221,,0.36923,0.36696,0.00207,,0.37426,0.37386,0.00261,,0.39181,0.39011,0.00285
12/20/18,2018,354,0.37481,0.3817,0.00213,,0.37006,0.36662,0.00202,,0.3731,0.37412,0.00257,,0.39382,0.39004,0.00293
12/21/18,2018,355,0.38546,0.38236,0.00212,,0.36485,0.36622,0.002,,0.37353,0.37409,0.00258,,0.38798,0.38989,0.00285
12/22/18,2018,356,0.3786,0.3829,0.0022,,0.36126,0.36585,0.00199,,0.37325,0.37389,0.00271,,0.39077,0.38958,0.00274
12/23/18,2018,357,0.38777,0.38322,0.00226,,0.36677,0.36533,0.00192,,0.34751,0.37362,0.00283,,0.38637,0.38915,0.00274
12/24/18,2018,358,0.38133,0.38322,0.0022,,NA,0.36462,0.00188,,0.3719,0.3732,0.00275,,0.38519,0.38868,0.00285
12/25/18,2018,359,0.38406,0.38303,0.0022,,0.36511,0.36406,0.00189,,0.37386,0.37256,0.00275,,0.39033,0.38823,0.00293
12/26/18,2018,360,0.38604,0.38285,0.00226,,0.36004,0.36362,0.00185,,0.34578,0.37185,0.00283,,0.38803,0.38757,0.00287
12/27/18,2018,361,0.38316,0.3826,0.00223,,0.3626,0.36312,0.00183,,0.37198,0.371,0.00273,,0.38769,0.38672,0.00287
12/28/18,2018,362,0.37938,0.38222,0.00226,,0.36183,0.36267,0.00189,,0.36758,0.37005,0.00272,,0.3917,0.38613,0.00293
12/29/18,2018,363,0.38336,0.38188,0.0023,,0.36325,0.36237,0.00196,,0.37502,0.36917,0.00261,,0.38236,0.38577,0.00287
12/30/18,2018,364,0.37813,0.38149,0.00222,,0.36657,0.36226,0.00199,,0.36572,0.36823,0.00254,,0.39345,0.38543,0.00287
12/31/18,2018,365,0.38233,0.38094,0.00212,,0.36214,0.36226,0.00205,,0.3649,0.36707,0.00257,,0.376,0.38526,0.00293
1/1/19,2019,1,0.38222,0.38035,0.00213,,0.36011,0.36223,0.00211,,0.36275,0.36518,0.00251,,0.37802,0.38545,0.00285
1/2/19,2019,2,0.37624,0.37986,0.00225,,0.3606,0.3623,0.0021,,0.36493,0.36324,0.00255,,0.38512,0.38596,0.00274
1/3/19,2019,3,0.37618,0.37959,0.00234,,NA,0.36256,0.00209,,0.36385,0.36143,0.00249,,0.38966,0.38658,0.00274
1/4/19,2019,4,0.38466,0.37966,0.00234,,NA,0.36283,0.00217,,0.36212,0.35936,0.00248,,0.38786,0.38705,0.00285
1/5/19,2019,5,0.38254,0.37993,0.00241,,NA,0.36296,0.00223,,0.36279,0.3578,0.00255,,0.38638,0.38717,0.00293
1/6/19,2019,6,0.38057,0.3801,0.0025,,NA,0.36296,0.00218,,0.35268,0.35688,0.0025,,0.386,0.38687,0.00285
1/7/19,2019,7,0.37657,0.38029,0.00245,,0.36133,0.36296,0.00215,,0.36246,0.35613,0.00253,,0.39026,0.38635,0.00274
1/8/19,2019,8,0.34641,0.3806,0.00248,,NA,0.36296,0.00216,,0.33935,0.35562,0.00245,,0.38559,0.38573,0.00274
1/9/19,2019,9,0.36884,0.38074,0.00257,,0.36681,0.36294,0.0021,,0.34209,0.35536,0.00238,,0.39298,0.38515,0.00285
1/10/19,2019,10,0.38823,0.38067,0.00251,,0.36791,0.36289,0.00199,,0.3645,0.35525,0.00245,,0.392,0.38471,0.00293
1/11/19,2019,11,0.38868,0.38055,0.00241,,0.36215,0.36283,0.00188,,0.36585,0.35516,0.00253,,0.38546,0.38424,0.00286
1/12/19,2019,12,0.38288,0.3804,0.00238,,0.36176,0.36278,0.00182,,0.35757,0.35523,0.00246,,0.37752,0.38359,0.00275
1/13/19,2019,13,0.37973,0.38021,0.00244,,0.36091,0.36275,0.0018,,0.35622,0.35554,0.00246,,0.3739,0.38292,0.00275
1/14/19,2019,14,0.37763,0.38,0.00248,,0.36294,0.36275,0.00179,,0.35511,0.35594,0.00253,,0.37287,0.38243,0.00286
1/15/19,2019,15,0.34681,0.3796,0.00238,,0.35936,0.36277,0.00174,,0.36083,0.35624,0.00249,,0.38199,0.3823,0.00294
1/16/19,2019,16,0.3763,0.37897,0.00225,,0.36278,0.36277,0.0017,,0.35791,0.35667,0.00253,,0.38273,0.38286,0.00288
1/17/19,2019,17,0.37391,0.37829,0.00222,,0.36102,0.36277,0.00174,,0.34213,0.35755,0.00245,,0.38816,0.38384,0.00289
1/18/19,2019,18,0.38052,0.37772,0.0023,,0.36311,0.3628,0.0018,,0.35904,0.35869,0.00238,,0.38881,0.38457,0.00294
1/19/19,2019,19,0.38145,0.37744,0.00237,,0.36526,0.36287,0.00178,,0.36254,0.35986,0.00245,,0.38782,0.38556,0.00287
1/20/19,2019,20,0.37979,0.37757,0.00232,,0.36314,0.363,0.00175,,0.35761,0.3608,0.00253,,0.38648,0.38704,0.00288
1/21/19,2019,21,0.37872,0.378,0.00223,,0.36104,0.36312,0.00176,,0.36163,0.36217,0.00246,,0.3853,0.38781,0.00296
1/22/19,2019,22,0.36814,0.37856,0.00223,,0.36394,0.36331,0.00173,,0.3574,0.36397,0.00246,,0.38672,0.38776,0.00291
1/23/19,2019,23,0.38001,0.37908,0.00232,,0.36672,0.3636,0.0017,,0.37438,0.36502,0.00253,,0.39204,0.38754,0.00283
1/24/19,2019,24,0.37828,0.37939,0.00239,,0.3633,0.36389,0.00171,,0.37206,0.36537,0.00249,,0.38716,0.38709,0.00287
1/25/19,2019,25,0.38208,0.37959,0.00234,,0.36429,0.36409,0.00173,,0.37037,0.36543,0.00253,,0.38935,0.38638,0.00301
1/26/19,2019,26,0.38101,0.37981,0.00234,,0.36403,0.36424,0.00171,,0.36345,0.36491,0.00245,,0.38225,0.38535,0.0031
1/27/19,2019,27,NA,0.37986,0.00241,,0.36434,0.3644,0.00171,,0.36342,0.36392,0.00238,,NA,0.38391,0.00301
1/28/19,2019,28,0.38518,0.37977,0.00237,,0.36676,0.3645,0.00173,,0.35917,0.36256,0.00245,,0.37876,0.38202,0.00288
1/29/19,2019,29,0.37787,0.37963,0.0024,,0.36116,0.36448,0.00171,,0.35557,0.36091,0.00253,,0.37486,0.37981,0.00286
1/30/19,2019,30,0.38012,0.3794,0.00245,,0.36134,0.36438,0.00169,,0.35551,0.35857,0.00247,,0.37434,0.37738,0.00296
1/31/19,2019,31,0.38204,0.37902,0.00238,,0.36189,0.36426,0.00171,,0.35834,0.35562,0.00249,,0.37622,0.37482,0.00303
2/1/19,2019,32,0.36995,0.37849,0.00229,,0.36791,0.36419,0.00174,,0.35076,0.35285,0.00256,,0.38451,0.37156,0.00293
2/2/19,2019,33,0.38072,0.37782,0.00229,,0.36749,0.36413,0.00172,,0.35903,0.34993,0.00253,,0.38111,0.3674,0.00279
2/3/19,2019,34,0.34298,0.37704,0.00239,,0.36667,0.36404,0.00172,,0.35896,0.34705,0.00256,,0.38938,0.36305,0.00276
2/4/19,2019,35,0.37045,0.37617,0.00248,,0.365,0.36397,0.00174,,0.33721,0.34421,0.00247,,0.33608,0.35922,0.00286
2/5/19,2019,36,0.3747,0.37505,0.00248,,0.36347,0.36394,0.00171,,0.33705,0.3411,0.00249,,0.33172,0.35662,0.00294
2/6/19,2019,37,0.37887,0.37375,0.00257,,0.36093,0.36393,0.00166,,0.33363,0.33893,0.00259,,0.34752,0.35469,0.00289
2/7/19,2019,38,0.38006,0.37259,0.00268,,0.36179,0.36391,0.00164,,0.33649,0.33721,0.00263,,0.36517,0.3529,0.00288
2/8/19,2019,39,0.35114,0.37113,0.00264,,0.36528,0.36389,0.00167,,0.33364,0.33591,0.00274,,0.36292,0.35201,0.00294
2/9/19,2019,40,0.37064,0.36933,0.00264,,0.35796,0.36385,0.00173,,0.3343,0.33595,0.00271,,0.33439,0.35288,0.00287
2/10/19,2019,41,0.36324,0.36808,0.00269,,0.36313,0.36378,0.00177,,0.33501,0.33672,0.00277,,0.34258,0.35495,0.00287
2/11/19,2019,42,0.34482,0.36748,0.0026,,0.36557,0.36376,0.00175,,NA,0.33778,0.00288,,0.36074,0.35679,0.00293
2/12/19,2019,43,0.34336,0.36701,0.00245,,0.36759,0.36381,0.00174,,NA,0.34064,0.00281,,0.36464,0.35883,0.00285
2/13/19,2019,44,0.36561,0.36671,0.00239,,0.3677,0.36383,0.00178,,0.3497,0.34379,0.00285,,0.37167,0.36197,0.00274
2/14/19,2019,45,0.35938,0.36664,0.00243,,0.35831,0.36371,0.00181,,0.34866,0.3462,0.00274,,0.36963,0.36548,0.00274
2/15/19,2019,46,0.36376,0.36683,0.00246,,0.3636,0.36357,0.00178,,0.33959,0.34944,0.0026,,0.37077,0.3686,0.00285
2/16/19,2019,47,0.36197,0.36785,0.00236,,NA,0.36347,0.00178,,0.34957,0.35245,0.00258,,0.3688,0.37058,0.00293
2/17/19,2019,48,0.37534,0.36952,0.00229,,0.36436,0.36325,0.00181,,0.35613,0.35416,0.00259,,0.37458,0.3714,0.00285
2/18/19,2019,49,0.37398,0.37081,0.0023,,0.36296,0.36277,0.00179,,0.35614,0.35438,0.00249,,0.37369,0.37165,0.00274
2/19/19,2019,50,0.37252,0.37186,0.00223,,0.36483,0.36212,0.00177,,0.36035,0.35396,0.00247,,0.36758,0.37152,0.00274
2/20/19,2019,51,0.37649,0.37315,0.00222,,0.36116,0.36144,0.0018,,0.35849,0.35343,0.00256,,0.37519,0.37123,0.00285
2/21/19,2019,52,0.37561,0.3741,0.0023,,0.36022,0.36087,0.00183,,0.35507,0.35179,0.00253,,0.37381,0.37098,0.00293
2/22/19,2019,53,0.37729,0.37442,0.00225,,0.36216,0.36018,0.0018,,0.35733,0.35001,0.00256,,0.36753,0.37062,0.00285
2/23/19,2019,54,0.372,0.37433,0.00216,,0.36356,0.3593,0.0018,,0.35075,0.34869,0.00249,,0.36801,0.36997,0.00274
2/24/19,2019,55,0.37419,0.37402,0.00214,,0.35706,0.35863,0.00182,,0.33598,0.34685,0.00247,,0.37151,0.36919,0.00274
2/25/19,2019,56,0.37344,0.37367,0.0022,,0.35532,0.35811,0.00178,,0.33718,0.34565,0.00253,,0.36451,0.36847,0.00285
2/26/19,2019,57,0.37305,0.37346,0.00226,,NA,0.35749,0.00176,,0.33723,0.345,0.00249,,0.36686,0.36795,0.00293
2/27/19,2019,58,0.36837,0.37335,0.0022,,0.35304,0.35693,0.00179,,0.33913,0.34455,0.00253,,0.36355,0.36759,0.00286
2/28/19,2019,59,0.37231,0.37318,0.00211,,0.35353,0.35657,0.00182,,0.34995,0.3451,0.00246,,0.36701,0.36724,0.00277
3/1/19,2019,60,0.37349,0.37298,0.00211,,0.35691,0.3564,0.0018,,0.35296,0.3463,0.00246,,0.37129,0.36691,0.00278
3/2/19,2019,61,0.37361,0.37279,0.0022,,0.35931,0.3563,0.00179,,0.35066,0.34735,0.00253,,0.36916,0.36665,0.00288
3/3/19,2019,62,0.37429,0.37266,0.00226,,0.35592,0.35628,0.00181,,0.35169,0.34882,0.00249,,0.36695,0.36649,0.00294
3/4/19,2019,63,0.37222,0.37254,0.0022,,0.3548,0.35642,0.00176,,0.35204,0.3504,0.00253,,0.36633,0.36636,0.00288
3/5/19,2019,64,0.37328,0.37239,0.00211,,0.35675,0.35672,0.0017,,0.3527,0.35118,0.00245,,0.36841,0.36624,0.00284
3/6/19,2019,65,0.37341,0.37225,0.00211,,0.35659,0.35714,0.00166,,0.343,0.35182,0.00238,,0.36403,0.36619,0.00294
3/7/19,2019,66,0.37271,0.37214,0.0022,,0.36006,0.35763,0.00168,,0.35439,0.35238,0.00245,,0.36697,0.36627,0.00313
3/8/19,2019,67,0.37179,0.37211,0.00226,,0.35977,0.35812,0.00174,,0.3522,0.35292,0.00253,,0.36068,0.36654,0.00324
3/9/19,2019,68,0.37259,0.37192,0.0022,,0.35714,0.35857,0.00177,,0.3554,0.35343,0.00246,,0.368,0.36698,0.00315
3/10/19,2019,69,0.3716,0.37161,0.0022,,0.35961,0.35905,0.00177,,0.35262,0.35391,0.00246,,0.36676,0.36754,0.00303
3/11/19,2019,70,0.36864,0.3716,0.00226,,0.3603,0.35962,0.00178,,0.35431,0.35437,0.00253,,NA,0.36825,0.00308
3/12/19,2019,71,0.37263,0.37195,0.0022,,0.36085,0.3602,0.00185,,0.35552,0.35478,0.00249,,NA,0.3691,0.00329
3/13/19,2019,72,0.37443,0.37245,0.0022,,0.35963,0.36073,0.0019,,0.35582,0.35521,0.00253,,0.37306,0.37011,0.00344
3/14/19,2019,73,0.36942,0.37304,0.00226,,0.36064,0.36128,0.0019,,0.35886,0.35557,0.00246,,0.37231,0.37147,0.00341
3/15/19,2019,74,0.37405,0.37385,0.0022,,NA,0.36188,0.00192,,0.355,0.35583,0.00246,,0.37243,0.37319,0.00335
3/16/19,2019,75,0.3726,0.37496,0.00211,,0.3614,0.36241,0.00196,,0.35638,0.35625,0.00253,,0.37428,0.37505,0.00339
3/17/19,2019,76,0.37651,0.37619,0.00211,,0.36189,0.36285,0.00193,,0.3553,0.35689,0.00249,,0.37308,0.37685,0.00351
3/18/19,2019,77,0.37761,0.37735,0.0022,,NA,0.36323,0.0019,,0.35503,0.35755,0.00253,,NA,0.37835,0.00358
3/19/19,2019,78,0.37964,0.37829,0.00226,,0.36334,0.36362,0.00192,,0.35655,0.35832,0.00246,,NA,0.3799,0.00344
3/20/19,2019,79,0.38042,0.37904,0.0022,,NA,0.36406,0.00195,,0.35641,0.35922,0.00246,,NA,0.38162,0.00341
3/21/19,2019,80,0.38248,0.37978,0.00211,,0.3695,0.36447,0.00191,,0.36215,0.35998,0.00253,,0.3863,0.383,0.00352
3/22/19,2019,81,0.3819,0.38047,0.00211,,0.36694,0.36483,0.00187,,0.36392,0.36071,0.00249,,0.38351,0.38384,0.00338
3/23/19,2019,82,0.38138,0.3811,0.0022,,0.36429,0.36527,0.00187,,0.363,0.36141,0.00253,,0.38689,0.38444,0.00322
3/24/19,2019,83,0.38144,0.38163,0.00226,,0.36484,0.36581,0.00182,,0.36424,0.3619,0.00245,,0.3872,0.38506,0.00317
3/25/19,2019,84,0.3781,0.38202,0.0022,,0.36924,0.36635,0.00176,,0.3632,0.36227,0.00238,,0.38527,0.38554,0.00302
3/26/19,2019,85,0.38167,0.38228,0.00211,,0.36499,0.3669,0.00175,,0.35982,0.36263,0.00245,,0.38312,0.38573,0.00283
3/27/19,2019,86,0.38143,0.38246,0.00211,,0.36237,0.36749,0.00176,,0.36393,0.36305,0.00253,,0.38844,0.38576,0.00278
3/28/19,2019,87,0.38376,0.38263,0.0022,,0.36734,0.36812,0.00173,,0.36088,0.36345,0.00246,,0.38251,0.38581,0.00291
3/29/19,2019,88,0.38295,0.38282,0.00226,,0.36758,0.36878,0.00172,,0.36453,0.36376,0.00246,,0.38605,0.38604,0.00304
3/30/19,2019,89,0.38336,0.38311,0.0022,,0.37019,0.36944,0.00175,,0.36075,0.36415,0.00253,,0.38429,0.38655,0.00299
3/31/19,2019,90,0.38389,0.38343,0.0022,,0.3679,0.37015,0.00172,,0.36307,0.36475,0.00249,,0.38635,0.38725,0.00286
4/1/19,2019,91,0.38486,0.38367,0.00226,,0.37445,0.37096,0.00167,,0.36748,0.36537,0.00253,,0.38724,0.38803,0.00281
4/2/19,2019,92,0.38427,0.38378,0.0022,,0.37221,0.37181,0.00165,,0.36851,0.36597,0.00245,,0.38925,0.38876,0.00287
4/3/19,2019,93,0.38117,0.38383,0.0022,,0.37297,0.37267,0.00166,,0.36771,0.36667,0.00238,,0.39334,0.38935,0.00293
4/4/19,2019,94,0.38394,0.38387,0.00226,,0.37605,0.37349,0.00171,,0.37013,0.36735,0.00245,,0.38968,0.38981,0.00285
4/5/19,2019,95,0.38958,0.38389,0.0022,,0.37354,0.37422,0.00174,,0.36427,0.36792,0.00253,,0.39127,0.39024,0.00274
4/6/19,2019,96,0.37722,0.38383,0.00212,,0.37744,0.3748,0.00171,,0.36793,0.36829,0.00246,,0.38999,0.39062,0.00274
4/7/19,2019,97,0.38741,0.38375,0.00213,,0.37181,0.37527,0.00168,,0.37158,0.36855,0.00246,,0.39065,0.39093,0.00285
4/8/19,2019,98,0.37976,0.38368,0.00221,,0.37637,0.37574,0.00171,,0.36311,0.36883,0.00253,,0.39136,0.39116,0.00293
4/9/19,2019,99,0.38684,0.38367,0.00226,,0.3775,0.37634,0.00173,,0.37067,0.36901,0.00249,,0.3951,0.3911,0.00287
4/10/19,2019,100,0.383,0.38373,0.0022,,0.37882,0.37692,0.00171,,0.37064,0.36917,0.00253,,0.38822,0.39085,0.00287
4/11/19,2019,101,0.37983,0.38382,0.00212,,0.37733,0.3774,0.00171,,0.36983,0.36952,0.00245,,0.38998,0.39076,0.00293
4/12/19,2019,102,0.38742,0.38392,0.00215,,0.37752,0.37803,0.00173,,0.37064,0.36993,0.00238,,0.39329,0.39087,0.00287
4/13/19,2019,103,0.38348,0.38399,0.00225,,0.37893,0.37889,0.00171,,0.3705,0.37033,0.00245,,0.38971,0.39099,0.00287
4/14/19,2019,104,0.38323,0.38402,0.00233,,0.37959,0.37988,0.00168,,0.36913,0.37067,0.00253,,0.38837,0.39113,0.00294
4/15/19,2019,105,0.38632,0.38393,0.00228,,0.37568,0.38088,0.00171,,0.36837,0.37098,0.00246,,0.38799,0.39134,0.0029
4/16/19,2019,106,0.38322,0.38374,0.0022,,0.37909,0.38179,0.00173,,0.37336,0.37128,0.00246,,0.39207,0.39162,0.0029
4/17/19,2019,107,0.38776,0.38355,0.00222,,0.38051,0.38287,0.00171,,0.37121,0.37152,0.00253,,0.39322,0.39193,0.003
4/18/19,2019,108,0.37928,0.38343,0.00232,,0.38269,0.38413,0.00171,,0.37344,0.3717,0.00249,,0.39533,0.39222,0.00312
4/19/19,2019,109,0.38351,0.38347,0.00238,,0.38645,0.38516,0.00173,,0.3719,0.37184,0.00253,,0.39299,0.39245,0.0031
